"id","output_or_claim","implementation_path","test_path","truth_source","evidence_class","status","priority","evidence","notes"
"TR-001","Pinned blood_storage and penguins_raw fixtures originate from the stated upstream package versions","data-raw/test-fixtures/make_external_fixtures.R:108; data-raw/test-fixtures/make_external_fixtures.R:264","tests/testthat/test-penguins-raw-fixtures.R:59; tests/testthat/fixtures/blood_storage/SOURCE.md:3; tests/testthat/fixtures/penguins_raw/SOURCE.md:3","CRAN medicaldata 0.2.0 data/blood_storage.rda and palmerpenguins 0.1.1 inst/extdata/penguins_raw.csv, downloaded to a temporary directory during review","external_independent","adequate","medium","Reviewer comparison found identical dimensions, names, and serialized values for both committed fixtures.","Routine tests pin dimensions and provenance text but do not re-download upstream data; no record-level clinical values are reproduced in this review."
"TR-002","Fixture generator avoids circular use of episcout","data-raw/test-fixtures/make_external_fixtures.R:1","tests/testthat/test-fixture-generation-guardrails.R:15","Static forbidden-call patterns in the generator source","internal_consistency","partial","medium","The guard rejects direct episcout/API calls but cannot detect copied algorithms; the schema classifier is a near line-for-line production mirror.","The guard is useful process evidence, not proof that every generated expectation is independent."
"TR-003","Fixture specifications accurately declare semantic types, roles, levels, ranges, and groups","data-raw/test-fixtures/make_external_fixtures.R:165; data-raw/test-fixtures/make_external_fixtures.R:321; R/eda_spec.R:35","tests/testthat/test-penguins-raw-fixtures.R:27; tests/testthat/test-penguins-raw-fixtures.R:87","Generator-authored dictionaries and SOURCE.md statements; no field-level reconciliation to upstream metadata or a separate review record","internal_consistency","partial","high","Tests hard-code the same declarations authored in the generator, and these declarations drive summaries and plot dispatch.","External fixture origin does not independently validate the repository-authored semantic specification."
"TR-004","EDA schema presence and observed-type inventory fields","R/eda_schema.R:11; R/eda_schema.R:73","tests/testthat/test-eda_schema-fixtures.R:11; tests/testthat/test-penguins-raw-fixtures.R:98","data-raw/test-fixtures/make_external_fixtures.R:21 and small hand mutations","internal_consistency","partial","high","Presence mutations are transparent, but fixture_observed_type() repeats the same ordered classifier as eda_observed_type().","The expected_schema CSVs were generated with mirrored repository logic, not an independent classification source."
"TR-005","Schema status establishes conformance between observed and declared types","R/eda_schema.R:20","tests/testthat/test-eda_schema-fixtures.R:60","No independent type-conformance expectation found","none","gap","high","Status is set from presence alone at R/eda_schema.R:38; the test accepts declared integer, observed numeric, and status present.","A present status must not be interpreted as type compatibility under the tested contract."
"TR-006","Ordinary-NA missingness counts and total-row denominators","R/eda_missing.R:11; R/summary_cores.R:1","tests/testthat/test-eda_missing-fixtures.R:11; tests/testthat/test-penguins-raw-fixtures.R:109","Independent base-R sum(is.na()) and mean(is.na()) in data-raw/test-fixtures/make_external_fixtures.R:43","cross_implementation","adequate","low","Two pinned public datasets are compared with separately generated expected CSVs, including exact proportions.","The external datasets are independent inputs; the expected missingness values are cross-implemented, not external published results."
"TR-007","Sentinel-code missingness and zero-row denominators","R/eda_missing.R:38; R/summary_cores.R:1","tests/testthat/test-eda_missing-fixtures.R:58","Small transparent fixtures with literal expected counts and proportions","hand_derived","adequate","low","The tests independently establish 999, UNK, REF, ordinary NA, complete variables, and NA proportions for zero rows.","This evidence is stronger than the ordinary fixture generator for sentinel behavior because the external specs contain no sentinel codes."
"TR-008","EDA v1 numeric n, missing, mean, SD, median, minimum, and maximum","R/eda_summaries.R:38; R/summary_cores.R:29","tests/testthat/test-eda_summaries-fixtures.R:22; tests/testthat/test-penguins-raw-fixtures.R:120","Small hand calculation plus base-R reference in data-raw/test-fixtures/make_external_fixtures.R:53","cross_implementation","adequate","low","The penguin expected CSV is computed without package code and the sentinel example hand-checks an all-missing variable.","Adequacy is limited to the v1 fields and finite observed values represented by the fixtures."
"TR-009","EDA v1 categorical declared-level counts and total-versus-observed denominators","R/eda_summaries.R:61; R/summary_cores.R:112","tests/testthat/test-eda_summaries-fixtures.R:58; tests/testthat/test-penguins-raw-fixtures.R:120","Transparent A/B/C/UNK fixture plus base-R reference in data-raw/test-fixtures/make_external_fixtures.R:77","cross_implementation","adequate","low","The hand fixture proves 2/5 total and 2/3 observed denominators; penguin Sex exercises missing observed values.","Only declared-level behavior is adequately anchored."
"TR-010","EDA v1 treatment of undeclared observed categories and resulting denominator presentation","R/eda_summaries.R:67","tests/testthat/test-eda-summaries-v2.R:62","No v1 expected result found; the available unexpected-level test exercises v2 only","none","gap","high","V1 filters non-declared rows after computing core denominators, but no test defines the intended displayed totals when unexpected non-missing levels occur.","This can make displayed category rows appear not to reconcile without an explicit contract."
